,PA_CODUNI,count,sum,
0,396,3,72.0,
1,485,1,3.37,
2,3018,1,55.1,
3,3271,1,24.0,
4,3816,28,727.8900000000001,
5,3832,3,72.0,
6,3859,1,22.27,
7,3875,1,24.2,
8,4073,2,277.26,
9,8036,2,0.0,
10,8982,2,51.66,
11,9156,2,0.0,
12,9318,9,744.0,
13,9350,3,28.5,
14,9709,4,89.71,
15,9962,2,48.0,
16,10030,4,96.0,
17,10049,159,1749.0,
18,10057,134,1446.88,
19,10073,134,1464.47,
20,10081,249,2758.8199999999997,
21,10103,87,946.7600000000002,
22,10111,44,491.35,
23,10243,30,332.94,
24,10405,2,36.58,
25,10456,3,39.85,
26,10499,1,24.0,
27,10510,4,101.49,
28,11738,6,2374.77,
29,11746,1,24.0,
30,11800,29,292.0,
31,11819,1,32.4,
32,11924,1,32.4,
33,12505,1,383.07,
34,13102,1,0.0,
35,15466,36,360.0,
36,15539,1,24.0,
37,15563,80,602.0,
38,15938,1,37.95,
39,16713,4,0.0,
40,16721,1,0.0,
41,16985,2,0.0,
42,17043,1,0.0,
43,17051,1,25.83,
44,17191,2,32.4,
45,17264,1,0.0,
46,17280,2,0.0,
47,17302,1,0.0,
48,17310,1,0.0,
49,17345,1,0.0,
50,17353,1,0.0,
51,17388,1,0.0,
52,17396,21,342.47,
53,17485,1,0.0,
54,17507,2,0.0,
55,17515,1,32.4,
56,17531,3,0.0,
57,18112,2,37.1,
58,18694,2,0.0,
59,19259,1,25.83,
60,20052,1,144.0,
61,21768,30,864.0,
62,21784,2,46.32,
63,23051,7,55.0,
64,23582,37,198.0,
65,26719,1,10.0,
66,26859,47,187.2399999999999,
67,27049,11,74.82000000000001,
68,27278,2,173.5,
69,27618,9,44.0,
70,27863,285,1906.740000000001,
71,48305,12,120.0,
72,50571,5,55.0,
73,59218,1,10.0,
74,86126,2,22.0,
75,100587,5,55.0,100587
76,114987,7,77.0,114987
77,201154,13,77.0,201154
78,301337,6,60.0,301337
79,393029,1,10.0,393029
80,2001527,3,30.0,
81,2004941,2,0.0,
82,2005557,2,0.0,
83,2005913,1,0.0,
84,2006197,485,4607.209999999999,
85,2007037,1,55.1,
86,2008793,5,55.0,
87,2009242,3,30.0,
88,2010216,1534,15470.0,
89,2011735,13,0.0,
90,2011867,3,0.0,
91,2011905,1,32.4,
92,2011956,1,0.0,
93,2012022,1,11.0,
94,2012553,2,23.47,
95,2012650,64,1637.09,
96,2012847,1,0.0,
97,2014556,2,0.0,
98,2014742,1,0.0,
99,2015323,2,0.0,
100,2015439,6,0.0,
101,2016648,1,11.0,
