CO_CNES,PA_CODUNI,count,sum,"Lat, Long",NO_FANTASIA,NU_LATITUDE,NU_LONGITUDE,NO_LOGRADOURO,NU_ENDERECO,NO_BAIRRO,NO_COMPLEMENTO,CO_CEP,HR_INICIO_ATENDIMENTO,HR_FIM_ATENDIMENTO,TURNO_ATENDIMENTO,MOTIVO_DESATIVACAO,_c13
396,396,3,72.0,"-8.0483421,-34.945492",HOSPITAL DAS CLINICAS,-8047565542943880,"-3,49461364746093E+016",AV PROFESSOR MORAES REGO,S/N,CIDADE UNIVERSITARIA,null,50740900,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
485,485,1,3.37,"-8.05896439999999,-34.8898242",FUNDACAO ALTINO VENTURA,-80590835626491,"-3,4889708161354E+016",R DA SOLEDADE,170,BOA VISTA,null,50070220,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
3018,3018,1,55.1,"-10.9190886,-37.0538491",CLIMAGEM,-10906096,-37053472,LAGARTO,1409,SAO JOSE,null,49015270,07:00,17:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
3271,3271,1,24.0,"-10.9243424,-37.0522794",LABORATORIO DE ANATOMIA PATOLOGICA E CITOPATOLOGIA,-109238671,-370549436,STANLEY SILVEIRA,73,SAO JOSE,SALA 328,49015400,07:00,18:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
3816,3816,28,727.8900000000001,"-12.9924159,-38.5208536",HOSPITAL UNIVERSITARIO PROFESSOR EDGARD SANTOS,"-1,29931237862042E+016",-3852022022008890,AUGUSTO VIANA,S/N,CANELA,null,40110060,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
3832,3832,3,72.0,"-12.9713233,-38.5027965",HOSPITAL SANTA ISABEL,-1297298955,-3850252668,PRACA CONSELHEIRO ALMEIDA COUTO,500,NAZARE,null,40050410,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
3859,3859,1,22.27,"-12.9580118,-38.4487572",HOSPITAL GERAL ROBERTO SANTOS,-1295658124536190,-3845121502876280,ESTRADA SABOEIRO,S/N,SABOEIRO,null,41180900,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
3875,3875,1,24.2,"-12.958625,-38.4905674",HOSPITAL ANA NERY,-12971,-38511,RUA SALDANHA MARINHO,S/N,CAIXA D AGUA,null,40320010,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
4073,4073,2,277.26,"-12.9588666,-38.4890365",HOSPITAL GERAL ERNESTO SIMOES FILHO,"-1,29707901125177E+016",-3851085662841790,PRACA CONSELHEIRO JOAO ALFREDO,S/N,PAU MIUDO,null,40320350,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
8036,8036,2,0.0,"-23.5072966,-46.7884503",HOSPITAL MATERNIDADE AMADOR AGUIAR,-235048091,-467882229,AV GETULIO VARGAS,1260,JD PIRATININGA,null,6233020,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
